project_id,mp_name,district,work_type,sanction_date,sanction_amount,expenditure_to_date,start_date,expected_end_date,actual_end_date,status
WS/ MP620/2024-2025/133166-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,09-Jul-24,497185,497185,09-Jul-24,,14-Oct-24,Completed
WS/ MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,Pralhad Venkatesh Joshi,DHARWAD,Trust and Society,18-Sep-25,500000,,18-Sep-25,,,Sanction
WS/ MP620/2024-2025/133190-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Trust and Society,23-Sep-24,450000,,23-Sep-24,,,Sanction
WS/ MP620/2025-2026/133191-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,29-May-25,1500000,,29-May-25,,,Work partially Completed
WS/ MP620/2024-2025/133301-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,22-Aug-24,398009,398009,22-Aug-24,,03-Feb-25,Completed
WS/ MP620/2024-2025/133303-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,25-Jul-24,399104,399104,25-Jul-24,,14-Feb-25,Completed
WS/ MP620/2024-2025/133304-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,22-Aug-24,396154,396154,22-Aug-24,,25-Sep-25,Completed
WS/ MP620/2025-2026/133305-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,03-Jun-25,400000,,03-Jun-25,,,Sanction
WS/ MP620/2024-2025/133306-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,14-Mar-25,495627,495627,14-Mar-25,,17-Jul-25,Completed
WS/ MP620/2024-2025/133307-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,17-Aug-24,398955,398955,17-Aug-24,,29-Jul-25,Completed
WS/ MP620/2024-2025/133308-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,17-Aug-24,399304,399304,17-Aug-24,,31-May-25,Completed
WS/ MP620/2024-2025/133309-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,14-Mar-25,495031,495031,14-Mar-25,,28-Oct-25,Completed
WS/ MP620/2024-2025/133310-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,22-Aug-24,247583,247583,22-Aug-24,,31-May-25,Completed
WS/ MP620/2024-2025/133311-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,22-Aug-24,250000,,22-Aug-24,,,Sanction
WS/ MP620/2024-2025/133312-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,25-Jul-24,498091,498091,25-Jul-24,,09-Jun-25,Completed
"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",Pradeep Kumar Singh,ARARIA,Normal/Others,14-Jul-24,448127,448127,14-Jul-24,,05-Sep-24,Completed
WS/MP498/2024-2025/133447-Construction of culverts and bridges,Dr Sukanta Majumdar,BALURGHAT,Normal/Others,07-Aug-24,1602957,1602957,07-Aug-24,,27-Jul-26,Completed
"WS/MP577/2025-2026/133549-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,11-Apr-25,250000,250000,11-Apr-25,,21-Feb-26,Completed
"WS/MP577/2025-2026/133550-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,07-Oct-25,245697,,07-Oct-25,,,Sanction
