project_id,mp_name,district,work_type,sanction_date,sanction_amount,expenditure_to_date,start_date,expected_end_date,actual_end_date,status,months_elapsed,cost_overrun_ratio,delay_days,fund_utilization_speed,percent_spent,anomaly_score,is_flagged
NA- Laying of synthetic turfs for hockey and football,Shri Anil Firojiya,UJJAIN(SC),Normal/Others,,0.0,0.0,,,,Recommended,0.0,0.0,0,0.0,0.0,0.0841788223029483,False
"NA- Providing sports equipment, except consumable items",Bansuri Swaraj,NEW DELHI,Normal/Others,,0.0,0.0,,,,Recommended,0.0,0.0,0,0.0,0.0,0.0841788223029483,False
"NA-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",K. C VENUGOPAL,ALAPPUZHA,Normal/Others,,0.0,0.0,,,,Recommended,0.0,0.0,0,0.0,0.0,0.0841788223029483,False
NA-Construction of New Building,DR.K.SUDHAKAR,CHIKBALLAPUR,Normal/Others,,0.0,0.0,,,,Recommended,0.0,0.0,0,0.0,0.0,0.0841788223029483,False
NA-Construction of additional rooms and halls in the existing public and community building,Raju Bista,DARJEELING,Normal/Others,,0.0,0.0,,,,Recommended,0.0,0.0,0,0.0,0.0,0.0841788223029483,False
NA-Construction of artificial reef,Dr Shashi Tharoor,THIRUVANANTHAPURAM,Normal/Others,,0.0,0.0,,,,Recommended,0.0,0.0,0,0.0,0.0,0.0841788223029483,False
NA-Construction of boundary walls of existing public and community buildings,Vijay Kumar Dubey,KUSHI NAGAR,Normal/Others,,0.0,0.0,,,,Recommended,0.0,0.0,0,0.0,0.0,0.0841788223029483,False
NA-Construction of building for veterinary aid centers,GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),Normal/Others,,0.0,0.0,,,,Recommended,0.0,0.0,0,0.0,0.0,0.0841788223029483,False
NA-Construction of buildings for community cultural activities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,,0.0,0.0,,,,Recommended,0.0,0.0,0,0.0,0.0,0.0841788223029483,False
NA-Construction of buildings for crèches and anganwadies,K. C VENUGOPAL,ALAPPUZHA,Normal/Others,,0.0,0.0,,,,Recommended,0.0,0.0,0,0.0,0.0,0.0841788223029483,False
